0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
1001.1,233.011,998.304,339.098,924.711,339.091,880.636,318.344,859.864,265.448,1068.93,339.079,1095.31,339.013,1119.09,291.805,980.595,580.335,930.658,580.274,907.176,765.779,883.408,951.195,1027.73,580.343,1048.45,780.404,1066.01,971.728,980.68,221.142,1021.69,221.279,957.056,238.874,1042.41,244.759,1095.43,1024.81,1113.01,1015.97,1048.3,980.614,818.739,998.206,815.828,980.645,895.273,968.792
1001.1,233.018,998.299,339.053,927.716,338.994,883.629,336.059,859.893,280.072,1068.84,341.859,1095.43,338.901,1119.03,297.81,977.781,577.466,930.607,577.425,909.996,765.681,883.441,951.123,1024.91,577.49,1048.39,774.606,1065.98,971.794,980.679,221.136,1021.67,221.266,957.095,238.905,1042.41,244.701,1095.47,1024.88,1113.06,1018.81,1048.31,980.671,821.658,998.195,818.676,980.604,898.138,962.996
1001.09,232.992,998.234,339.032,927.731,338.96,886.447,341.909,859.898,294.795,1065.99,341.839,1095.35,344.812,1118.89,315.488,977.759,577.344,930.621,577.323,909.971,765.725,883.428,951.166,1024.86,577.348,1048.32,771.684,1068.74,971.803,980.674,221.128,1021.66,221.254,957.019,238.828,1042.4,244.69,1095.46,1024.9,1113.05,1018.83,1048.36,980.661,821.645,998.222,815.871,980.651,895.274,965.877
1001.07,233.007,998.229,339.037,927.698,338.968,886.459,353.658,859.857,315.519,1066.01,341.799,1092.49,356.622,1118.87,333.059,977.777,577.45,930.636,577.415,907.188,765.736,883.436,951.163,1024.88,577.451,1048.33,774.575,1068.73,971.763,980.646,221.126,1021.65,221.263,954.274,238.83,1042.41,244.699,1095.45,1024.87,1113.05,1018.81,1048.35,980.619,818.739,998.212,815.831,980.645,898.143,965.874
1001.07,233.039,998.216,339.066,927.627,338.92,886.489,362.572,859.938,338.893,1068.8,341.876,1101.24,362.415,1121.94,339.08,977.705,577.447,930.579,577.384,909.922,765.718,883.426,951.177,1024.82,577.462,1048.28,777.496,1068.73,971.807,980.658,221.148,1018.92,221.265,956.999,235.991,1042.35,244.662,1095.49,1024.89,1113.07,1018.82,1048.34,980.659,821.632,998.186,818.673,980.607,895.263,965.895
1001.07,233.039,998.216,339.066,927.627,338.92,886.489,362.572,859.938,338.893,1068.8,341.876,1101.24,362.415,1121.94,339.08,977.705,577.447,930.579,577.384,909.922,765.718,883.426,951.177,1024.82,577.462,1048.28,777.496,1068.73,971.807,980.658,221.148,1018.92,221.265,956.999,235.991,1042.35,244.662,1095.49,1024.89,1113.07,1018.82,1048.34,980.659,821.632,998.186,818.673,980.607,895.263,965.895
998.377,232.987,998.173,339.012,924.59,338.86,886.377,368.435,857.063,353.697,1068.96,341.806,1110.09,365.507,1124.8,356.598,977.792,580.3,930.677,577.449,909.933,765.829,883.43,951.195,1024.9,580.275,1048.34,771.665,1068.75,971.776,980.632,221.131,1018.88,221.242,954.262,238.829,1039.5,244.617,1095.41,1024.87,1113.01,1018.81,1048.39,980.603,821.656,998.176,818.681,980.588,895.302,965.941
998.329,230.146,998.132,341.838,915.883,341.819,856.929,389.028,845.18,368.408,1069,341.84,1133.64,394.856,1124.85,365.575,980.631,580.338,933.492,580.291,909.956,765.848,883.439,951.15,1027.74,580.325,1048.33,771.686,1068.73,971.71,980.59,218.358,1018.87,221.226,954.193,235.905,1039.5,244.726,1095.37,1024.84,1112.99,1018.8,1048.37,977.809,821.659,998.171,818.695,980.587,895.282,965.867
998.383,221.336,998.223,353.687,910.018,347.853,880.641,480.167,839.422,597.916,1080.64,359.546,1101.32,483.212,1118.97,601.072,980.651,595.074,933.46,594.981,912.932,768.714,883.404,951.146,1030.7,595.042,1048.42,783.402,1068.74,971.809,980.606,203.572,1021.74,206.526,957.094,224.143,1045.35,233.033,1092.53,1024.8,1110.08,1015.96,1048.42,980.711,824.644,998.329,818.716,983.56,895.264,963.009
998.297,230.055,998.123,341.988,907.161,341.879,857.04,412.61,836.501,400.737,1071.95,342.04,1136.63,433.165,1130.7,403.75,980.597,577.478,930.636,577.467,909.919,768.671,883.451,951.122,1027.81,577.443,1048.33,774.592,1068.74,971.72,977.822,218.328,1018.83,221.198,954.122,235.943,1039.42,244.747,1095.38,1024.81,1112.99,1018.75,1048.38,980.573,821.67,998.149,818.702,980.574,898.168,965.846
