sensor,9y
0.039215686,235.392
0.039215686,236.682
0.039215686,238.002
0.039215686,237.996
0.039215686,237.974
0.039215686,240.58
0.039215686,245.828
0.019607843,249.722
0.039215686,257.556
0.019607843,261.456
0.078431373,237.996
0.117647059,268.01
0.196078431,277.133
0.274509804,282.33
0.725490196,292.788
0.823529412,296.708
0.823529412,313.654
0.823529412,318.875
0.941176471,325.427
0.941176471,333.23
0.941176471,345.017
0.941176471,348.922
0.941176471,352.827
0.941176471,361.951
0.960784314,364.584
0.960784314,356.741
1.019607843,368.481
1.019607843,355.426
1.039215686,361.943
1.058823529,343.702
1.058823529,343.677
1.058823529,320.23
1.039215686,312.399
1.058823529,304.568
1.058823529,300.648
1.058823529,295.415
1.039215686,282.365
1.058823529,269.329
0.980392157,265.387
0.980392157,254.961
0.941176471,245.82
0.764705882,241.891
0.31372549,235.366
0.176470588,253.635
0.117647059,235.377
0.078431373,232.777
0.039215686,234.092
0.039215686,239.31
0.039215686,237.971
0.039215686,235.374
0.039215686,240.597
0.039215686,237.974
0.039215686,237.991
0.039215686,237.986
0.039215686,260.146
0.019607843,235.401
0.039215686,236.674
0.039215686,239.312
0.058823529,234.079
0.117647059,234.06
0.196078431,234.085
0.31372549,234.069
0.843137255,235.385
0.941176471,237.97
0.921568627,239.31
1,264.078
1.058823529,244.541
1.058823529,248.426
1.058823529,260.156
1.058823529,269.306
1.058823529,269.335
1.039215686,283.659
1.058823529,334.57
1.058823529,343.662
1.058823529,343.673
1.058823529,345.017
1.078431373,346.978
1.058823529,348.94
1.058823529,351.53
1.058823529,351.55
1.058823529,348.883
1.078431373,344.963
1.058823529,343.697
1.058823529,335.868
1.058823529,333.249
1.058823529,309.742
0.882352941,291.496
0.784313725,273.242
0.666666667,284.974
0.411764706,273.23
0.078431373,266.702
0.078431373,256.256
0.078431373,243.2
0.058823529,239.312
0.039215686,228.841
0.039215686,232.773
0.039215686,231.482
0.039215686,231.482
0.039215686,232.131
0.058823529,232.78
0.039215686,232.788
0.039215686,234.073
0.078431373,231.484
0.117647059,232.784
0.196078431,231.471
0.31372549,228.869
0.823529412,231.483
0.921568627,237.983
0.823529412,240.58
1.039215686,237.99
1.058823529,235.401
1.058823529,247.119
1.058823529,260.18
1.058823529,266.68
1.058823529,273.24
1.078431373,283.666
1.078431373,304.542
1.078431373,311.056
1.078431373,328.038
1.078431373,330.646
1.078431373,338.486
1.078431373,343.693
1.058823529,348.901
1.078431373,352.824
1.078431373,356.743
1.058823529,359.377
1.078431373,360.685
1.078431373,360.648
1.058823529,361.941
1.078431373,348.882
0.862745098,342.41
0.764705882,334.582
0.450980392,334.567
0.235294118,334.551
0.058823529,317.571
0.039215686,312.374
0.058823529,288.89
0.058823529,273.217
0.039215686,265.379
0.039215686,249.726
0.058823529,243.218
0.039215686,231.464
0.039215686,231.463
0.039215686,231.461
0.039215686,231.459
0.058823529,227.554
0.039215686,230.162
0.058823529,231.485
