sensor	4y
0	
0	
0	
0	
0	
99	
0	
0	
0	
0	
0	
99	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
99	
0	
0	
0	
0	
0	
0	
0	
99	
99	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
99	
0	
0	
269	
294	
318	
337	
356	
380	
420	
456	
479	
501	
540	
98	
571	
603	
622	
631	
665	
685	
689	
694	
715	
736	
792	
829	
836	
811	
865	
924	
977	
982	
1056	
1088	
1132	
1162	
1245	
1210	
1167	
1528	
3428	
5837	
21462	
21613	
15332	
21450	
12336	
12491	
8269	
7843	
4052	
4316	
4432	
3150	
2034	
1370	
1815	
1581	
1034	
932	
903	
826	
671	
470	
318	
0	
0	
99	
0	
0	
0	
0	
0	
0	
0	
99	
99	
0	
0	
0	
0	
0	
0	
266	
351	
502	
629	
777	
834	
874	
965	
989	
1195	
2454	
2434	
3384	
7994	
9499	
13217	
11083	
13558	
11942	
21499	
21531	
21692	
21605	
21550	
21604	
21588	
21586	
21668	
21584	
21637	
15936	
17445	
10925	
0	
8322	
8699	
4963	
5921	
5337	
3179	
4366	
1222	
1125	
1078	
873	
622	
435	
329	
261	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
99	
0	
265	
357	
483	
677	
865	
930	
1018	
1115	
1179	
1295	
1542	
3611	
3125	
5249	
4735	
6579	
10122	
8415	
9521	
7049	
5508	
7893	
10844	
21656	
21629	
21691	
21609	
21686	
21559	
21391	
21583	
21678	
21511	
15081	
13506	
9875	
11086	
10017	
5971	
3341	
3448	
2825	
3902	
3053	
1279	
1457	
999	
608	
391	
293	
0	
0	
0	
0	
0	
0	
0	
0	
0	
99	
99	
0	
0	
0	
0	
0	
0	
0	
0	
0	
275	
379	
538	
795	
1093	
1109	
1156	
1274	
1558	
1838	
2496	
2870	
3515	
6244	
7123	
9692	
12718	
12141	
8223	
12896	
21683	
21508	
21665	
21525	
21684	
21519	
21677	
21538	
21611	
21514	
21681	
8607	
11517	
10956	
6604	
6221	
6993	
4764	
5191	
3591	
2608	
2247	
2543	
2209	
1355	
1201	
1012	
709	
524	
328	
268	
0	
0	
0	
0	
0	
0	
266	
299	
329	
358	
357	
333	
312	
282	
262	
274	
330	
430	
569	
806	
1086	
1306	
1363	
1505	
1747	
1947	
2819	
4913	
6531	
9048	
5919	
8598	
9442	
9726	
9271	
6941	
11083	
19252	
18304	
12541	
21655	
16303	
13615	
15624	
16028	
21638	
9869	
8039	
6673	
6214	
5224	
4949	
4461	
3603	
4511	
6086	
3549	
3982	
2913	
2800	
3410	
3233	
2214	
1910	
959	
567	
356	
269	
0	
0	
0	
0	
0	
0	
0	
0	
99	
0	
0	
0	
0	
0	
0	
279	
402	
532	
734	
884	
1077	
1359	
1477	
1591	
1502	
1794	
1886	
1869	
2074	
2946	
3756	
3955	
5433	
5440	
6403	
9484	
5185	
9482	
9015	
12668	
6471	
15677	
7815	
6338	
7004	
21633	
4581	
7814	
7015	
6554	
3550	
5350	
4855	
3471	
3494	
2638	
2385	
2961	
3126	
3287	
3014	
1169	
620	
420	
316	
279	
269	
258	
0	
0	
0	
0	
0	
0	
260	
293	
342	
455	
567	
825	
1072	
1442	
1540	
1608	
1702	
1699	
2097	
3534	
3731	
7996	
7182	
6107	
5749	
3525	
5436	
6681	
6047	
10312	
11730	
13255	
21610	
21497	
17578	
21636	
21633	
21566	
21425	
21637	
21740	
21579	
21680	
21633	
21679	
18447	
21667	
13047	
12298	
13951	
5997	
4155	
7625	
4093	
4521	
4332	
3855	
2945	
1095	
775	
555	
449	
420	
385	
366	
376	
382	
347	
332	
320	
302	
287	
268	
0	
0	
0	
0	
0	
298	
454	
742	
1078	
1313	
1361	
1718	
1643	
1741	
1934	
2023	
5095	
6104	
6191	
12862	
13519	
10629	
12185	
13547	
13669	
21510	
21675	
21600	
21697	
21573	
21752	
21580	
21686	
21597	
21440	
21670	
21691	
21578	
21677	
21515	
21683	
21647	
21690	
19399	
15643	
17621	
19649	
21209	
14360	
12465	
14445	
7686	
4517	
7085	
10299	
1047	
9298	
588	
495	
586	
530	
435	
379	
345	
322	
310	
322	
362	
467	
735	
941	
1102	
1372	
