lh,rh,ls,rs,w,ll,rl,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
612,333,5127,4047,550,712,848,1001.2,291.748,1001.08,412.678,912.978,412.551,871.722,544.994,824.633,665.73,1089.4,418.464,1115.84,547.961,1133.63,671.478,983.502,644.998,930.505,639.211,871.739,795.14,886.421,954.019,1042.33,647.955,1083.64,812.757,1065.92,962.913,983.554,268.427,1021.94,271.308,957.024,283.08,1048.2,294.749,1089.49,1024.79,1104.24,1018.76,1045.43,974.72,856.908,1013.03,839.369,1001.1,904.005,957.176
724,389,5100,3269,563,717,20531,1001.21,300.712,1001.09,430.091,912.982,424.335,868.807,553.875,821.679,671.629,1089.42,433.035,1113.1,553.89,1136.59,674.608,980.659,647.974,927.74,642.139,865.842,795.178,886.395,954.033,1039.52,650.996,1089.42,812.849,1065.94,965.879,980.714,283.003,1024.66,288.911,954.225,294.75,1048.25,303.672,1089.47,1024.71,1104.21,1015.89,1045.43,974.782,856.874,1015.93,839.382,1001.16,904.006,959.976
784,467,5668,3567,566,697,18396,1001.23,315.358,1001.14,436.08,915.815,433.223,868.808,568.568,818.752,686.259,1089.43,439.098,1113.05,565.543,1136.63,692.122,983.613,650.957,930.586,647.926,862.946,806.89,886.386,954.017,1042.45,656.83,1092.27,815.742,1065.87,962.942,983.572,292.004,1024.63,294.863,954.267,303.701,1048.24,315.454,1092.35,1024.75,1107.12,1015.93,1045.34,974.657,856.852,1015.93,839.377,1001.18,903.993,957.18
680,544,6096,3341,583,721,21440,1001.33,321.425,1001.23,442.02,921.708,439.081,871.644,574.553,818.726,692.082,1089.5,450.755,1115.82,574.511,1139.42,698.063,989.38,662.663,930.703,651.03,862.822,801.034,886.438,954.149,1045.29,665.705,1092.36,815.8,1065.84,962.982,983.607,303.712,1024.74,309.549,957.009,315.504,1048.31,318.528,1092.35,1024.81,1107.12,1018.76,1045.31,974.641,856.842,1015.88,839.389,1001.15,904.062,965.844
866,639,5838,3523,591,733,21461,1001.33,338.817,1001.25,456.614,918.821,453.756,868.798,580.293,815.875,698.091,1089.51,459.548,1115.9,580.426,1139.56,709.811,986.459,668.504,930.682,662.698,862.87,806.855,886.403,954.049,1042.39,671.465,1089.55,815.84,1065.87,965.833,983.595,315.451,1024.72,318.258,954.254,324.293,1048.31,335.96,1089.49,1024.77,1101.34,1015.93,1045.34,974.62,856.893,1010.03,839.413,998.276,904.03,960.061
827,696,6794,3529,604,721,21363,1001.36,344.806,1001.24,459.738,921.691,459.566,865.865,592.063,815.763,712.684,1089.53,465.519,1115.88,595.034,1139.54,715.786,983.605,665.687,930.704,659.829,862.822,809.756,886.362,953.996,1039.46,668.655,1092.33,818.676,1063.06,960.061,986.507,321.426,1024.76,330.093,957.031,338.82,1048.32,341.89,1089.54,1024.75,1104.2,1015.9,1045.31,971.788,856.934,1010.04,842.219,998.28,903.956,957.135
735,687,6262,3563,604,1179,21448,1004.13,356.664,1001.26,474.312,921.697,468.443,865.823,600.898,815.761,715.815,1089.54,480.087,1115.99,600.997,1139.63,721.675,980.671,671.686,930.562,668.67,862.87,803.991,886.4,954.072,1036.57,677.447,1092.39,821.67,1063,965.915,986.528,338.847,1024.81,338.962,957.009,342.085,1048.35,350.758,1089.41,1024.72,1101.27,1015.88,1045.27,974.702,856.908,1010.04,839.425,998.266,904.017,960.029
718,700,7287,3549,602,1242,21386,1004.14,365.386,1001.25,480.282,918.822,480.132,865.872,603.948,815.746,724.573,1089.53,483.208,1115.95,606.841,1142.42,739.113,983.538,677.452,930.666,671.626,865.77,806.906,886.379,954.049,1039.51,683.374,1092.42,815.792,1063.06,968.779,989.374,342.025,1024.82,344.889,957.056,353.729,1048.32,362.56,1089.51,1024.72,1104.18,1015.88,1045.35,974.743,856.946,1007.12,842.26,998.183,903.998,959.954
719,703,6638,3062,617,1064,21499,1004.15,374.243,1001.2,483.327,921.685,483.155,865.827,618.483,815.766,736.249,1089.5,489.098,1116.02,621.357,1142.44,742.09,977.823,683.355,930.527,674.574,865.861,806.952,886.454,954.11,1033.54,689.265,1092.41,812.931,1063.04,960.022,989.388,356.61,1024.82,359.551,954.266,362.491,1048.33,365.58,1089.53,1024.72,1101.34,1013.02,1045.29,971.702,856.936,1012.97,842.27,998.31,904.067,960.069
744,687,7428,3209,609,2030,21419,998.275,362.595,1001.08,456.805,912.94,456.789,883.513,586.264,856.917,712.781,1089.39,459.677,1110.15,589.121,1124.85,709.828,995.252,665.689,939.351,662.677,883.348,792.186,886.402,954.065,1045.4,668.659,1083.63,815.841,1065.87,959.953,977.773,341.886,1018.88,341.947,951.306,335.996,1045.37,339.056,1083.6,1021.9,1098.32,1010.08,1045.38,968.867,856.871,1012.94,839.363,998.294,903.998,960.029
696,674,4629,3274,600,2127,21461,1004.12,383.098,1001.22,494.939,921.693,489.087,868.736,621.535,815.817,739.3,1092.29,500.848,1115.95,621.595,1142.47,745.26,983.497,689.234,930.64,683.357,865.876,806.904,886.422,954.152,1039.46,692.197,1092.52,815.808,1063,959.956,989.401,362.437,1024.81,362.616,957.019,365.544,1048.33,377.256,1089.56,1024.73,1104.22,1015.85,1045.25,968.822,856.892,1012.98,842.242,998.323,904.031,960.07
702,644,6475,3282,600,2370,21551,1001.35,388.876,1001.16,500.891,918.79,497.925,868.716,624.478,818.7,745.094,1089.49,503.861,1115.96,627.482,1142.54,756.89,977.825,692.159,930.495,689.178,868.736,809.775,886.427,954.12,1030.72,695.062,1092.53,815.858,1063.07,957.133,986.48,365.481,1024.75,368.35,954.233,371.342,1048.32,385.904,1089.52,1024.74,1101.35,1015.85,1045.3,968.78,856.894,1013.01,842.239,998.332,904.07,960.042
668,624,6586,3110,599,15892,21605,1001.36,391.982,1001.09,503.913,915.806,503.823,865.846,630.407,818.72,751.017,1089.45,506.817,1115.86,630.398,1142.46,759.871,977.768,695.092,930.449,692.117,868.719,809.832,886.452,954.167,1030.67,695.236,1092.51,821.65,1065.84,960.04,986.459,371.374,1024.72,377.204,954.188,380.224,1048.31,386.062,1089.52,1024.72,1101.33,1015.85,1045.32,971.687,856.851,1013.02,842.231,998.338,904.068,962.94
581,594,4329,3466,593,16754,21540,1001.28,394.919,998.383,506.665,915.862,503.832,865.872,633.346,821.648,756.912,1086.57,509.698,1113.08,630.43,1142.4,762.763,977.725,695.179,927.744,692.216,871.675,806.964,886.454,954.107,1027.8,698.048,1095.25,824.6,1063.04,959.991,983.588,380.131,1024.64,383.09,954.186,386.004,1048.28,388.981,1089.52,1024.76,1101.33,1015.88,1045.31,968.871,856.876,1015.89,842.226,1001.11,904.052,960.011
625,533,6189,3221,578,18908,21438,1001.2,400.787,998.376,506.829,915.823,506.66,868.755,636.217,824.563,759.771,1089.4,512.628,1115.82,636.269,1139.65,762.789,980.551,698.03,930.572,695.063,862.834,809.845,886.513,954.253,1030.65,698.125,1092.55,821.629,1065.88,959.989,983.507,383.042,1021.86,385.937,954.134,386.024,1045.49,389.011,1089.5,1024.73,1101.31,1015.85,1045.35,971.661,854.055,1012.97,842.314,998.301,904.147,965.867
535,487,5517,3299,562,18494,21405,1001.11,400.767,998.271,506.85,912.865,506.707,865.873,639.128,824.663,756.965,1086.5,512.597,1112.98,630.429,1139.63,762.711,977.72,698.076,927.737,695.106,860.029,809.783,886.45,954.208,1027.78,700.988,1092.48,815.854,1063.01,960.03,980.616,383.066,1021.75,385.909,953.987,386.073,1045.4,388.943,1089.52,1024.75,1101.32,1015.87,1045.31,971.693,856.963,1010.06,842.295,998.267,904.068,962.991
472,449,4698,3241,550,17132,21453,998.358,394.896,998.246,506.718,912.872,506.644,865.822,639.159,830.381,759.784,1083.59,509.715,1112.99,633.298,1139.53,762.721,977.722,698.002,927.75,695.008,860.04,806.994,886.406,954.069,1027.77,698.152,1092.4,815.879,1063.03,962.926,977.809,377.207,1021.68,382.999,954,385.972,1045.31,388.892,1089.5,1024.74,1101.31,1015.87,1045.34,971.795,856.921,1010.02,842.226,998.227,904.031,959.961
427,428,5444,2989,548,18547,21536,998.29,391.936,998.228,506.649,909.99,503.902,865.844,633.321,830.428,756.887,1083.59,506.891,1113.04,633.263,1139.44,759.874,977.635,695.122,927.651,692.227,860.011,809.764,886.427,954.164,1027.65,695.235,1092.37,815.788,1063,962.998,977.728,368.502,1018.92,374.261,951.278,383.026,1045.25,386.102,1089.48,1024.67,1101.27,1012.99,1045.33,974.644,856.859,1007.15,842.301,998.167,904.07,962.936
333,423,6800,2920,540,19434,21540,998.215,388.902,998.208,503.715,909.968,503.68,868.737,627.396,830.458,748.127,1080.71,503.903,1113.05,627.505,1139.42,751.05,977.68,692.268,927.702,692.051,859.973,806.949,886.421,954.193,1027.72,695.161,1092.29,815.803,1063.04,965.838,977.71,365.505,1018.86,368.347,951.19,371.407,1045.21,383.149,1089.41,1024.66,1101.23,1012.98,1045.38,974.631,856.919,1010.06,842.292,998.249,904.055,962.941
318,414,4981,2911,534,8851,21510,998.146,383.18,998.262,497.945,912.877,494.997,865.843,624.498,830.399,742.272,1080.68,500.901,1112.98,624.41,1136.62,745.146,977.74,692.06,930.482,686.315,860.079,806.838,886.374,954.109,1027.8,692.196,1092.29,812.911,1062.97,965.878,977.624,362.528,1018.76,362.617,951.117,365.592,1042.37,374.265,1089.48,1024.7,1101.33,1015.86,1045.35,974.703,856.996,1007.15,842.29,998.194,903.989,960.041
308,405,6355,2828,523,9976,21474,998.297,362.409,1001.1,456.56,915.817,453.801,883.524,583.261,856.93,712.653,1086.6,456.779,1112.94,580.426,1124.82,703.976,995.339,662.683,939.447,653.956,883.462,789.177,883.631,954.088,1045.46,665.69,1083.63,812.943,1065.87,959.981,977.785,339.023,1018.9,339.111,953.978,333.085,1045.36,338.813,1083.66,1024.65,1098.35,1012.95,1045.41,971.669,856.958,1012.98,839.379,998.326,901.14,960.042
312,396,5763,3050,517,10460,21399,998.122,371.379,998.159,486.127,909.94,483.289,868.724,621.445,830.387,739.346,1080.66,489.134,1110.14,621.377,1136.61,739.318,977.651,686.219,927.669,677.492,862.958,801.006,886.409,954.097,1027.69,689.196,1089.5,812.769,1063,962.953,977.555,350.783,1018.78,356.595,951.175,362.503,1042.44,365.432,1086.59,1024.64,1098.42,1012.95,1045.34,974.598,856.94,1010.02,842.288,998.231,904.022,960.015
367,390,6705,3019,514,10401,21473,995.382,362.532,998.134,480.196,907.16,480.207,868.799,603.964,830.398,730.437,1077.76,480.345,1107.21,603.979,1136.6,736.241,977.8,674.538,930.499,671.607,862.909,798.103,886.427,954.102,1030.6,677.488,1089.4,812.901,1065.84,962.957,977.573,341.847,1018.75,342,951.046,350.722,1042.31,362.449,1089.4,1021.91,1101.24,1012.96,1045.41,974.613,856.964,1010.01,842.281,998.243,904.077,962.917
345,386,6474,2951,516,12228,21530,995.325,350.711,998.122,468.462,909.928,465.497,868.772,597.962,827.572,718.723,1077.7,474.32,1110.05,600.804,1136.64,718.757,977.759,668.691,927.755,665.71,868.759,806.892,886.403,954.087,1027.8,671.616,1089.41,812.817,1063.04,965.903,974.851,330.165,1015.88,336.027,951.089,341.783,1039.42,347.764,1086.53,1021.85,1098.41,1010.07,1045.39,974.734,856.984,1010.01,842.276,998.249,904.023,960.046
364,376,5137,3070,529,13914,21538,995.286,338.932,995.282,456.701,907.074,456.729,868.786,586.157,827.555,709.834,1074.84,456.826,1107.17,586.16,1136.57,712.754,977.724,665.729,927.674,662.684,874.575,806.955,886.45,951.273,1027.82,668.674,1083.6,812.844,1063.05,960.072,977.529,318.259,1013.03,318.423,951.061,327.255,1036.51,338.927,1086.58,1021.87,1101.23,1010.05,1045.38,971.824,856.896,1009.99,842.248,998.21,904.053,957.155
383,358,5255,3108,543,13601,21501,995.357,324.284,998.127,447.873,909.966,442,868.754,574.542,827.582,695.12,1074.87,453.718,1110.05,574.561,1136.58,695.183,977.7,659.77,927.678,651.008,877.522,806.983,886.41,954.034,1027.77,665.606,1083.62,812.748,1063.03,965.853,974.843,306.583,1015.93,312.409,951.097,318.353,1036.57,327.163,1089.46,1024.64,1101.3,1012.94,1045.36,974.653,856.904,1010.07,842.219,998.261,903.993,959.97
388,347,6242,3168,552,15758,21479,995.248,312.502,995.249,433.259,907.015,433.258,868.799,562.612,830.423,689.124,1074.82,436.104,1110.05,565.604,1136.57,689.212,977.806,648.054,927.737,645.115,880.387,804.048,886.368,954.022,1030.69,650.991,1077.74,809.906,1063.06,965.849,977.539,291.952,1015.87,294.845,951.057,306.62,1033.55,318.283,1089.47,1024.65,1101.31,1012.96,1045.39,974.674,856.997,1010.05,842.251,998.287,903.933,957.128
476,348,5950,3104,551,16469,21412,995.335,297.809,995.357,424.282,907.053,418.465,868.724,550.993,830.385,671.655,1074.87,427.322,1110.07,551.015,1136.49,671.717,977.773,645.072,927.711,642.046,880.557,801.077,886.361,951.264,1030.69,648.016,1077.73,809.837,1063.05,960.018,974.809,277.14,1015.92,283.091,951.071,294.752,1036.51,297.866,1089.44,1024.72,1101.25,1013.02,1045.37,971.702,857.082,1007.15,842.324,998.241,901.149,957.079
373,347,4602,3107,548,14541,21545,995.217,288.853,995.251,412.422,907.024,409.719,868.739,539.153,830.408,662.72,1074.77,412.57,1110.06,539.145,1136.5,665.649,980.606,636.254,930.487,630.377,880.45,804.055,886.385,951.24,1036.5,639.194,1074.8,806.903,1063.04,965.833,974.807,268.305,1013,271.171,951.053,283.056,1033.58,291.988,1089.47,1024.7,1101.33,1013.01,1045.36,974.667,856.971,1010.06,842.265,998.289,903.969,957.109
361,341,5220,3005,541,14365,21542,995.326,274.195,995.286,403.69,907.035,397.877,868.787,527.448,830.445,647.975,1074.76,406.63,1110.1,527.452,1136.51,648.123,980.642,627.443,930.527,624.433,880.553,795.233,886.411,951.232,1036.55,633.26,1074.81,809.934,1062.95,962.996,974.812,250.759,1015.94,256.618,951.072,268.433,1036.5,274.278,1089.54,1024.76,1104.18,1015.87,1045.31,974.681,856.91,1012.93,842.229,998.278,903.989,957.076
357,339,5021,2962,534,15250,21537,992.393,265.341,995.196,389.016,906.941,388.997,862.997,524.382,830.494,639.204,1074.8,389.154,1107.16,518.492,1136.56,642.127,980.607,624.374,930.472,621.446,880.625,789.408,886.438,951.243,1036.55,624.514,1071.79,804.049,1062.97,957.142,974.776,244.815,1012.93,247.687,951.096,262.504,1030.63,271.2,1092.31,1024.79,1104.19,1015.88,1045.31,971.687,856.925,1010.06,839.409,998.229,903.998,957.115
