lh,rh,ls,rs,w,ll,rl,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
418,659,1359,1897,1991,486,588,989.431,409.613,998.309,392.011,907.014,392.038,883.377,524.377,877.614,636.246,1089.54,397.815,1101.35,524.455,1095.4,633.344,980.7,586.251,933.509,580.394,921.662,762.823,886.427,951.278,1030.64,592.043,1045.42,768.758,1065.87,971.721,977.659,397.819,1007.09,397.836,954.086,365.53,1045.23,365.44,1077.76,1021.8,1095.49,1010.03,1051.22,980.601,845.165,1001.29,836.316,992.308,901.146,968.782
409,647,1394,1696,2326,484,557,998.338,391.986,998.31,389.169,907.039,391.957,883.397,524.328,880.452,633.312,1089.55,392.027,1104.17,524.403,1095.46,627.526,986.509,583.315,936.518,580.368,921.783,762.895,886.479,951.257,1036.56,586.236,1045.37,771.674,1065.83,971.727,980.618,386.003,1015.9,383.047,954.044,353.727,1045.28,353.668,1083.58,1021.86,1098.3,1010.08,1048.38,980.641,842.239,1001.26,836.28,989.448,903.946,968.766
406,656,1409,1561,3142,559,951,998.286,385.923,998.246,388.947,906.961,389.005,883.358,521.389,880.436,627.531,1089.49,389.013,1110.05,521.436,1095.43,627.503,995.249,580.369,945.278,580.316,924.566,762.755,886.428,954.006,1045.2,583.244,1045.46,777.469,1063.06,971.765,977.747,368.37,1012.96,368.381,954.052,341.944,1042.46,341.932,1077.81,1021.86,1095.5,1012.93,1048.43,980.672,842.281,1001.31,836.285,992.354,901.144,968.812
409,668,1407,1454,3340,528,935,998.358,368.444,998.216,386.07,906.945,386.178,883.454,512.607,880.418,627.424,1089.39,386.062,1104.28,512.653,1095.35,624.586,989.389,580.343,939.393,577.468,924.572,762.852,886.492,954.117,1039.42,583.229,1045.45,774.571,1065.84,968.827,980.574,359.499,1015.91,359.527,951.293,324.279,1042.39,333.036,1077.74,1021.8,1095.47,1010.03,1051.18,977.749,839.429,1001.28,833.554,992.321,903.967,971.786
403,681,586,1368,6273,532,504,998.288,353.669,998.219,383.079,906.968,383.166,883.559,506.815,880.425,624.612,1089.42,383.052,1107.15,506.888,1095.37,624.467,992.351,583.299,942.29,580.386,924.653,765.656,886.453,954.094,1042.41,583.313,1045.46,780.391,1065.86,971.67,977.748,338.963,1012.95,339.037,951.256,315.397,1042.32,318.372,1077.79,1021.81,1095.48,1010.03,1051.2,977.812,842.248,1001.34,836.273,992.363,903.943,971.744
396,694,592,1184,6565,505,0,998.327,344.856,998.257,377.226,906.923,377.182,883.469,506.708,880.396,624.564,1089.5,380.194,1107.12,506.84,1095.37,624.365,989.466,583.225,939.401,580.29,924.643,765.639,886.484,954.045,1042.31,583.264,1048.19,780.502,1065.86,971.817,977.765,330.187,1015.93,333.132,951.292,303.639,1045.29,306.604,1077.75,1021.84,1095.48,1012.93,1051.21,980.706,839.406,1001.35,833.544,992.355,903.989,968.883
400,749,651,1045,7621,588,283,995.359,338.859,998.248,368.518,906.986,368.514,883.44,503.812,880.411,624.545,1089.47,371.419,1104.22,506.674,1095.4,621.591,992.329,586.201,939.381,583.235,924.648,762.919,886.462,954.08,1042.43,586.254,1048.17,783.293,1063.06,971.707,977.655,318.312,1007.08,318.491,951.201,291.979,1039.41,297.832,1080.64,1021.8,1095.53,1010.02,1048.37,980.593,839.421,1001.36,833.537,992.389,903.94,971.729
418,834,622,997,5421,504,0,998.287,336.013,998.271,368.37,907.027,365.615,883.431,503.712,880.382,624.476,1089.52,368.43,1104.17,503.848,1095.43,621.538,995.209,580.369,942.352,580.308,924.6,765.715,886.465,954.069,1042.42,580.345,1045.49,780.401,1063.03,968.871,977.708,315.388,1018.86,315.485,951.209,282.995,1045.41,288.94,1080.64,1021.79,1095.54,1009.99,1048.31,980.556,839.417,1004.1,833.547,992.4,903.948,971.709
438,914,705,919,5792,500,447,998.305,324.212,998.194,365.51,906.932,365.577,883.479,500.838,880.423,624.412,1089.47,365.471,1101.33,503.739,1095.44,621.531,992.389,586.251,942.382,583.276,924.667,765.644,886.429,954.092,1042.37,586.221,1045.49,780.462,1065.84,971.708,977.744,303.663,1018.89,306.553,951.214,271.176,1045.39,271.343,1080.64,1021.75,1095.52,1009.98,1048.38,980.592,839.42,1001.32,833.54,992.346,901.115,971.728
461,1012,770,880,6799,499,0,1004.1,227.095,1001.1,344.883,912.962,342.044,886.509,480.156,880.528,603.944,1089.47,350.785,1101.24,486.233,1095.37,618.588,995.246,577.453,942.311,574.499,924.563,765.707,886.402,954.138,1045.28,580.322,1048.33,783.378,1062.99,968.831,989.407,209.497,1024.77,215.337,957.133,221.244,1048.38,224.329,1074.87,1021.8,1095.47,1010.05,1048.28,977.801,853.946,1004.09,836.461,992.389,898.242,968.884
486,1092,738,807,7769,501,0,998.297,315.437,998.182,362.64,906.984,365.394,883.427,500.819,877.649,621.607,1089.48,362.62,1101.35,503.735,1095.47,621.431,992.395,580.36,942.315,580.285,924.644,765.671,886.436,954.065,1042.43,580.37,1045.46,774.561,1065.87,971.752,977.639,294.776,1018.87,291.971,951.185,253.651,1045.31,265.341,1077.73,1021.76,1095.49,1009.98,1048.43,980.637,842.287,1001.32,836.309,992.33,901.126,968.878
505,1161,845,682,8350,495,0,998.237,306.604,998.156,362.464,906.953,362.528,883.476,497.842,877.639,621.556,1089.45,362.508,1101.27,497.934,1095.45,621.353,992.366,583.224,942.304,580.328,924.729,762.903,886.477,954.058,1042.38,583.228,1045.44,777.484,1063.02,968.812,977.595,288.841,1018.8,286.018,951.117,247.885,1045.2,262.376,1077.8,1021.72,1095.52,1007.1,1048.33,980.547,839.409,1001.35,836.277,992.377,903.923,968.867
574,1182,782,601,9939,497,0,998.172,294.759,998.175,362.391,906.987,362.448,883.538,492.061,880.363,621.538,1089.42,362.457,1101.33,494.971,1095.54,618.546,995.239,583.324,945.237,583.241,924.681,762.899,886.479,954.094,1042.46,586.176,1045.43,774.611,1062.98,968.842,977.6,271.287,1018.86,271.432,951.129,241.866,1045.35,247.82,1077.8,1021.72,1095.52,1007.11,1048.33,980.574,845.193,1001.33,836.355,992.349,901.157,971.698
548,1217,730,552,11335,492,0,998.198,288.984,998.218,359.573,906.966,359.57,883.557,489.132,877.646,621.429,1089.46,362.386,1101.33,492.007,1095.56,618.49,992.305,583.244,942.286,580.316,924.563,765.667,886.443,954.102,1042.33,583.302,1045.44,768.786,1063.01,971.694,974.836,268.188,1018.88,268.259,950.992,241.733,1045.44,247.613,1080.63,1021.77,1095.53,1010,1048.35,980.634,845.23,1001.36,836.344,992.405,901.124,971.707
626,1340,697,507,18559,496,0,995.36,280.069,998.201,359.486,906.951,359.574,883.543,489.086,877.642,621.397,1089.44,359.471,1101.25,489.104,1095.55,615.624,989.484,583.276,939.373,580.333,921.728,765.747,886.427,954.1,1042.39,583.308,1045.39,768.791,1065.84,968.794,974.784,256.538,1015.96,256.592,951.104,230.123,1045.36,241.804,1077.7,1021.7,1095.46,1007.11,1048.41,977.768,845.188,1001.3,836.332,992.331,901.139,971.713
615,1379,704,453,19826,499,286,995.378,271.261,998.181,356.65,906.923,359.511,883.573,486.164,877.646,618.604,1089.43,359.458,1101.28,489.084,1098.29,612.703,989.448,583.306,939.388,580.369,921.768,765.763,886.43,954.118,1042.31,583.311,1045.44,771.627,1062.95,965.881,974.807,247.81,1015.96,247.864,948.235,230.106,1045.27,235.948,1077.77,1021.78,1095.48,1007.15,1048.31,977.693,845.24,1001.36,836.325,992.39,901.109,971.72
641,1333,727,422,21215,498,0,995.38,268.319,998.177,356.555,906.959,353.685,883.554,483.09,877.633,618.528,1086.58,356.626,1101.3,489.031,1095.53,609.764,983.564,583.238,933.588,580.273,921.676,765.845,886.44,951.267,1030.71,583.264,1045.45,774.568,1063.04,968.807,974.75,244.914,1018.76,247.599,948.195,227.195,1045.28,233.013,1077.74,1021.79,1095.46,1010.02,1048.37,977.758,848.171,1001.34,836.372,992.35,901.101,962.965
623,1324,694,397,21231,495,0,995.316,262.451,998.193,353.67,906.925,353.643,883.514,483.184,877.649,618.466,1089.4,353.724,1101.26,486.125,1095.48,606.79,986.492,583.315,933.601,580.333,915.858,765.87,886.484,951.274,1039.44,586.214,1045.43,777.484,1063.02,968.758,974.717,241.831,1013.02,241.906,948.209,224.308,1045.32,230.117,1080.67,1021.81,1095.53,1010.06,1048.28,977.782,848.123,1004.15,836.355,992.419,901.175,962.987
809,1267,668,367,21292,493,0,995.28,256.57,998.17,353.639,906.955,350.801,883.493,486.19,877.638,618.47,1086.59,353.696,1101.3,483.249,1095.46,603.98,983.537,583.248,933.574,580.296,912.949,768.633,886.474,954.031,1030.71,583.272,1045.39,774.567,1063.02,965.931,974.699,238.864,1013.01,238.937,948.172,224.269,1045.36,227.168,1080.72,1024.66,1098.29,1013.01,1048.3,977.743,845.242,1004.13,836.308,995.216,901.168,968.771
632,1344,665,341,21606,488,0,995.254,250.754,998.137,350.759,906.917,350.743,883.536,483.213,880.38,615.669,1086.58,353.686,1104.17,483.334,1095.4,603.971,980.651,583.268,930.713,577.46,912.941,765.865,886.514,954.014,1027.78,586.18,1045.32,771.698,1060.06,962.963,974.721,233.003,1012.98,233.061,948.128,221.343,1045.23,224.23,1080.72,1021.86,1098.28,1010.05,1048.22,977.635,848.108,1001.28,836.373,989.465,903.928,968.782
643,1426,652,344,20726,490,0,1001.39,227.22,1001.12,344.929,912.92,342.045,886.463,480.253,880.524,606.769,1089.54,353.685,1098.45,489.147,1095.36,618.639,995.269,577.408,942.339,574.506,924.58,765.766,886.365,954.174,1045.29,577.44,1048.25,783.294,1060.11,971.671,989.376,212.393,1024.76,215.403,957.146,221.251,1048.4,224.3,1077.73,1021.84,1095.5,1012.92,1048.24,980.646,851.065,1004.2,836.385,995.29,898.221,971.7
678,1561,638,338,21574,491,0,995.29,250.681,998.135,353.637,904.195,350.711,883.477,483.204,880.365,615.668,1086.55,356.565,1101.24,483.342,1095.39,606.776,983.492,583.247,933.5,577.467,912.93,765.879,886.534,954.043,1030.66,583.305,1045.34,771.664,1060.07,960.067,974.697,227.253,1015.85,227.229,948.155,224.096,1045.29,224.149,1080.71,1021.83,1098.29,1010.02,1048.21,977.598,848.179,1001.32,836.412,992.338,903.958,968.776
775,1725,680,306,21726,539,0,995.23,247.903,995.374,350.74,904.139,347.831,883.481,483.081,877.64,615.616,1086.5,356.556,1098.42,486.108,1095.33,609.761,980.629,586.168,930.687,580.333,910.047,768.698,886.515,954.089,1027.78,586.241,1045.38,774.546,1057.19,957.138,974.671,227.224,1012.99,227.202,948.118,224.099,1045.26,224.196,1083.57,1021.81,1098.28,1010.01,1045.46,974.783,848.177,1001.26,836.406,989.427,903.936,968.858
807,1779,681,281,21751,551,0,992.399,247.896,998.098,350.78,904.157,347.86,883.422,483.157,877.571,615.642,1086.51,356.58,1098.34,486.083,1095.27,609.71,980.646,583.287,930.697,577.475,910.014,768.761,886.523,954.071,1027.76,586.189,1045.39,774.625,1060.06,960.003,974.637,227.206,1012.94,227.216,948.137,224.091,1045.24,224.263,1080.72,1021.76,1095.54,1007.12,1048.22,974.8,851.091,1001.34,836.437,992.337,901.175,968.808
824,1759,660,277,21702,517,0,992.413,250.648,998.081,353.655,904.172,350.751,883.447,483.119,877.522,618.512,1086.49,356.621,1098.3,486.142,1095.28,609.784,986.483,580.389,933.606,577.47,912.924,768.682,886.516,954.026,1036.53,583.257,1045.42,774.603,1060.04,960.049,974.643,227.234,1010.1,227.233,945.276,224.06,1045.18,224.257,1083.63,1021.82,1095.54,1010.01,1045.46,977.571,848.165,1001.33,836.391,992.317,903.93,965.906
904,1758,585,0,21603,515,0,992.426,253.586,995.339,353.637,904.104,353.64,883.459,483.231,877.475,618.503,1083.58,356.567,1095.53,486.163,1092.52,612.672,983.506,583.28,933.497,580.278,915.814,765.895,886.492,954.05,1030.67,586.181,1045.38,774.531,1057.16,962.906,974.679,233.044,1010.08,235.916,945.332,224.094,1045.22,224.21,1083.58,1021.79,1095.53,1007.15,1045.41,977.615,848.17,1004.12,836.371,992.373,903.923,968.789
968,1774,609,0,21743,513,0,992.411,256.576,995.302,350.783,904.085,350.783,883.363,483.326,874.653,618.537,1083.6,356.572,1095.47,486.125,1092.57,612.692,980.629,583.257,930.538,580.28,915.829,765.835,886.506,953.998,1030.65,583.261,1045.4,774.604,1060.02,960.007,974.637,238.839,1010.06,238.932,942.393,224.193,1045.24,224.322,1080.7,1021.76,1095.51,1007.12,1045.47,974.823,845.265,1004.15,836.352,992.388,903.953,965.869
995,1746,574,0,21751,527,301,992.42,265.308,995.303,356.563,904.091,353.72,883.463,483.166,874.648,618.63,1083.62,356.655,1095.5,486.22,1095.26,615.591,980.594,583.271,930.513,580.291,912.949,771.626,886.508,951.268,1030.65,586.17,1045.4,777.539,1060.12,965.845,974.588,244.62,1010.07,244.667,942.375,227.22,1045.33,227.134,1077.76,1021.73,1095.51,1007.14,1048.29,977.714,848.163,1001.32,836.396,989.469,903.922,963.009
837,1799,577,0,21719,527,0,995.289,268.338,995.287,356.635,904.048,356.643,883.389,486.12,871.744,618.636,1086.5,359.48,1095.52,489.058,1092.53,618.474,983.532,583.252,930.576,580.296,915.812,768.741,886.497,954.032,1036.53,583.285,1045.44,777.546,1060.11,962.971,974.695,247.628,1013.02,247.636,945.262,230.033,1045.25,230.14,1080.64,1021.74,1095.49,1007.13,1048.3,977.672,842.333,1001.29,836.314,989.435,903.949,968.833
986,2038,563,0,21655,525,0,995.362,271.434,995.326,359.517,904.078,356.671,883.405,486.145,871.648,621.369,1086.51,362.404,1095.54,489.142,1092.5,618.473,983.555,580.324,930.698,577.421,912.956,768.706,886.46,954.058,1033.64,580.338,1045.43,771.643,1063.01,965.889,974.753,250.66,1015.88,250.704,945.288,235.983,1045.28,244.643,1077.77,1021.72,1095.5,1007.13,1048.37,977.767,842.257,1001.34,836.285,992.329,903.937,971.68
830,2135,526,0,21672,545,0,998.095,283.07,995.375,359.606,904.114,359.555,883.395,486.244,871.703,621.478,1086.48,362.471,1098.28,494.954,1092.55,618.573,986.455,580.373,933.528,577.424,915.85,765.703,886.478,954.032,1036.55,583.226,1045.41,774.616,1062.97,965.912,974.784,262.486,1015.89,262.486,948.15,241.762,1045.33,244.79,1080.69,1021.75,1095.54,1007.13,1048.31,977.743,842.332,1004.17,836.328,992.411,903.93,968.818
765,2420,522,0,21760,544,0,1004.1,230.036,1001.15,344.931,912.942,342.047,886.425,480.308,880.555,612.703,1089.56,353.691,1098.44,486.248,1095.4,621.357,995.277,580.347,942.353,577.42,924.649,765.815,886.392,954.182,1045.29,583.231,1048.31,783.305,1060.03,965.899,986.527,212.424,1024.79,218.215,957.039,221.144,1048.39,224.293,1077.71,1021.8,1095.44,1010.04,1048.21,977.737,851.134,1004.09,836.451,992.411,901.031,971.701
756,2485,514,0,21736,519,0,998.133,294.707,995.341,362.583,904.146,362.58,883.353,497.85,865.858,621.515,1086.54,365.387,1098.35,500.779,1095.34,621.476,992.317,583.295,939.353,583.237,918.844,765.714,886.463,954.084,1042.4,580.387,1045.48,780.483,1062.99,965.87,974.763,271.237,1018.81,271.268,945.333,244.824,1045.26,247.83,1080.67,1021.81,1095.51,1010.01,1048.3,977.678,842.318,1001.32,836.356,992.315,903.931,971.703
745,2521,502,0,21766,515,256,998.173,312.424,995.344,365.41,904.186,365.358,883.338,500.882,865.791,621.58,1083.66,365.56,1098.35,503.692,1095.37,621.506,986.475,589.156,933.585,586.171,921.657,765.687,886.501,954.072,1039.47,586.224,1045.47,777.552,1062.96,965.866,977.533,291.736,1018.75,291.727,948.149,250.758,1045.23,265.294,1080.68,1021.78,1095.53,1007.14,1048.3,977.721,842.247,1001.32,836.311,992.323,903.984,971.69
722,2326,485,0,21713,514,0,998.174,318.356,998.111,368.391,906.947,365.615,880.618,503.76,862.966,624.368,1086.53,368.47,1098.43,506.676,1095.35,624.342,989.437,589.162,936.478,583.283,924.658,762.861,886.494,954.038,1042.39,589.134,1048.16,780.465,1060.09,965.925,977.553,297.709,1018.84,297.744,951.131,265.306,1045.45,268.26,1077.81,1021.81,1095.48,1010.04,1048.32,977.73,842.262,1001.3,836.312,989.468,903.992,971.692
699,2142,466,0,21501,510,0,998.1,335.914,998.208,371.359,907.027,368.409,883.347,503.736,862.875,621.607,1086.61,374.33,1098.46,506.817,1095.36,624.492,989.408,589.111,936.474,580.399,924.576,762.807,886.417,954.116,1042.37,589.109,1048.17,780.422,1063.06,971.744,974.739,312.503,1015.91,312.415,951.178,277.144,1045.45,274.258,1077.76,1021.78,1095.46,1010.05,1048.44,980.664,842.267,1001.33,836.304,992.324,901.182,971.778
739,2077,468,0,21712,503,0,998.188,341.936,998.247,374.349,907.045,371.348,880.669,503.825,862.841,624.418,1089.42,380.174,1098.45,506.793,1095.4,624.607,986.533,583.262,936.461,580.337,924.632,762.812,886.467,954.014,1039.45,580.415,1045.46,771.666,1065.84,968.836,977.74,321.352,1018.8,324.312,951.26,291.764,1045.26,294.938,1077.72,1021.76,1095.46,1010.04,1051.21,980.592,842.264,1001.24,836.331,989.429,903.932,968.848
683,1985,477,0,21756,505,0,998.244,350.794,998.268,383.034,907.048,383.065,880.648,506.861,862.843,624.42,1089.48,383.173,1101.25,509.681,1095.49,627.353,992.306,580.38,939.4,580.311,921.761,762.873,886.432,954.062,1042.35,580.353,1045.4,768.731,1063.03,968.772,977.697,336.063,1015.92,338.857,951.247,303.657,1045.35,303.629,1077.8,1021.78,1095.5,1010.04,1048.38,980.546,842.296,1001.26,836.308,992.304,901.17,971.717
660,1849,521,263,21696,506,0,998.226,365.44,998.273,386.065,907.065,386.091,880.662,509.654,862.925,624.519,1089.47,386.144,1101.31,518.556,1098.31,627.471,995.253,580.298,945.294,577.38,921.726,762.812,886.449,954.034,1042.47,580.329,1045.43,768.731,1063.06,965.865,977.782,344.953,1015.91,347.782,954.125,318.351,1045.26,318.441,1080.65,1021.8,1095.51,1010.01,1048.4,977.707,842.309,1001.21,836.322,989.414,903.928,971.683
623,1658,538,311,21733,495,0,998.254,368.395,998.389,388.951,909.962,388.974,880.647,512.593,865.803,624.591,1089.51,389.071,1104.23,524.313,1098.33,630.391,989.43,580.401,939.415,580.278,924.579,762.744,886.414,954.049,1039.47,583.251,1045.46,771.595,1062.99,962.922,977.761,356.668,1012.96,359.521,954.005,327.24,1042.43,335.937,1077.72,1021.74,1095.44,1007.13,1048.4,977.634,845.207,1001.25,836.364,989.464,901.146,971.708
